name,spacing,policy,publication_height,inclusion_height,initial_anchor,final_anchor,final_anchor_age,model_height_eligible,included_fee_sats,included_height_ineligible_fee_sats,attempt_count,distinct_synthetic_payloads,synthetic_marker_links,vsize
fresh_congested-m1-hold,1,hold,201,209,195,195,14,True,736,0,1,1,0,736
fresh_congested-m1-fee_only,1,fee_only,201,206,195,195,11,True,14720,0,2,1,1,736
fresh_congested-m1-refresh_on_bump,1,refresh_on_bump,201,206,195,195,11,True,14720,0,2,1,1,736
fresh_congested-m16-hold,16,hold,201,209,192,192,17,True,736,0,1,1,0,736
fresh_congested-m16-fee_only,16,fee_only,201,206,192,192,14,True,14720,0,2,1,1,736
fresh_congested-m16-refresh_on_bump,16,refresh_on_bump,201,206,192,192,14,True,14720,0,2,1,1,736
near_deadline-m1-hold,1,hold,286,294,195,195,99,True,736,0,1,1,0,736
near_deadline-m1-fee_only,1,fee_only,286,291,195,195,96,True,14720,0,2,1,1,736
near_deadline-m1-refresh_on_bump,1,refresh_on_bump,286,291,195,195,96,True,14720,0,2,1,1,736
near_deadline-m16-hold,16,hold,286,294,192,192,102,False,736,736,1,1,0,736
near_deadline-m16-fee_only,16,fee_only,286,291,192,192,99,True,14720,0,2,1,1,736
near_deadline-m16-refresh_on_bump,16,refresh_on_bump,286,291,192,272,19,True,14720,0,2,2,1,736
deadline_crossed-m1-hold,1,hold,288,296,195,195,101,False,736,736,1,1,0,736
deadline_crossed-m1-fee_only,1,fee_only,288,293,195,195,98,True,14720,0,2,1,1,736
deadline_crossed-m1-refresh_on_bump,1,refresh_on_bump,288,293,195,195,98,True,14720,0,2,1,1,736
deadline_crossed-m16-hold,16,hold,288,296,192,192,104,False,736,736,1,1,0,736
deadline_crossed-m16-fee_only,16,fee_only,288,293,192,192,101,False,14720,14720,2,1,1,736
deadline_crossed-m16-refresh_on_bump,16,refresh_on_bump,288,293,192,272,21,True,14720,0,2,2,1,736
early_clear-m1-hold,1,hold,288,291,195,195,96,True,736,0,1,1,0,736
early_clear-m1-fee_only,1,fee_only,288,291,195,195,96,True,736,0,1,1,0,736
early_clear-m1-refresh_on_bump,1,refresh_on_bump,288,291,195,195,96,True,736,0,1,1,0,736
early_clear-m16-hold,16,hold,288,291,192,192,99,True,736,0,1,1,0,736
early_clear-m16-fee_only,16,fee_only,288,291,192,192,99,True,736,0,1,1,0,736
early_clear-m16-refresh_on_bump,16,refresh_on_bump,288,291,192,192,99,True,736,0,1,1,0,736
